Symbol,CT1,CT2,CT3,CT4,CTmean,AD1,AD2,AD3,AD4,ADmean,pval.AD-CT,AD.CT.FC,log10.pval,Translation
LDHB,7.884,4.355,2.501,0.97,3.9275,1.734,0,0,0,0.4335,6.52E-02,-3.494,1.186,
P4HB,7.641,5.524,4.503,1.238,4.7265,1.413,1.509,1.029,0.851,1.2005,3.93E-02,-3.526,1.406,
EIF4A1,5.661,4.965,5.138,3.164,4.732,1.502,0,1.487,1.486,1.11875,1.54E-03,-3.613,2.813,TRUE
S100A11,7.667,3.774,3.526,0,3.74175,0,0,0.185,0,0.04625,5.65E-02,-3.695,1.248,
RPS7,9.269,6.029,2.812,2.965,5.26875,1.437,1.638,1.81,0.47,1.33875,4.48E-02,-3.93,1.349,TRUE
IPO7,11.003,7.786,5.148,5.001,7.2345,5.349,0,0.893,6.606,3.212,1.11E-01,-4.023,0.955,
ACTR3,11.493,8.335,8.31,3.433,7.89275,5.483,5.773,0,4.077,3.83325,1.05E-01,-4.059,0.977,
CPS1,8.763,4.834,3.258,2.416,4.81775,0.359,1.054,0,1.239,0.663,2.76E-02,-4.155,1.558,
DHX9,11.015,8.669,7.467,3.972,7.78075,5.009,5.356,3.557,0,3.4805,6.54E-02,-4.3,1.184,TRUE
LDHA,9.229,3.736,5.445,4.902,5.828,0.491,0,2.744,2.043,1.3195,1.57E-02,-4.509,1.804,
RBM3,9.485,6.823,5.097,4.643,6.512,2.35,1.884,1.216,2.36,1.9525,6.82E-03,-4.56,2.166,TRUE
HIST2H3A,10.193,6.791,0,3.652,5.159,0.511,1.168,0.516,0,0.54875,8.00E-02,-4.61,1.097,
SET,9.548,5.93,5.142,2.317,5.73425,1.273,1.357,0.848,0.932,1.1025,2.11E-02,-4.632,1.675,
HIST1H3A,9.853,6.998,6.568,0.444,5.96575,0.858,1.32,0.991,0.394,0.89075,4.34E-02,-5.075,1.363,
COX5A,9.911,6.591,6.24,5.087,6.95725,1.677,2.266,0.803,0.751,1.37425,2.26E-03,-5.583,2.646,
EIF5A,8.202,6.289,5.972,4.692,6.28875,1.005,0.539,0,1.246,0.6975,3.61E-04,-5.591,3.443,TRUE
PTBP1,11.378,7.582,7.078,6.456,8.1235,3.926,3.4,2.481,0,2.45175,6.93E-03,-5.672,2.159,
PRKRIR,6.171,6.513,7.091,6.934,6.67725,0.74,0.435,0.44,0.459,0.5185,2.16E-07,-6.159,6.851,
PLIN4,5.823,6.202,6.371,6.383,6.19475,0,0.004,0,0,0.001,2.82E-09,-6.194,8.229,
