Symbol,CT1,CT2,CT3,CT4,CTmean,AD1,AD2,AD3,AD4,ADmean,pval.AD-CT,AD.CT.FC,log10.pval,Translation
MYH3,0.221,0.424,0.525,0.362,0.383,0.206,0,0,0,0.0515,6.69E-03,-0.331,2.174,
BCKDHA,1.783,0,0,0,0.44575,0,0.434,0,0,0.1085,4.90E-01,-0.337,0.31,
IGHV4-59,0.219,0.505,2.184,1.309,1.05425,0,0.585,0.829,1.413,0.70675,5.36E-01,-0.347,0.271,
VIM,7.086,4.778,1.887,2.887,4.1595,3.923,4.068,4.055,3.187,3.80825,7.73E-01,-0.351,0.112,TRUE
LILRB1,5.978,5.514,5.838,6.614,5.986,7.656,0.53,6.34,8.013,5.63475,8.48E-01,-0.352,0.072,
IGKV1-17,0,0,0.942,1.352,0.5735,0,0,0,0.875,0.21875,4.15E-01,-0.355,0.382,
NCL,2.116,1.654,0.828,1.483,1.52025,1.693,1.679,0,1.179,1.13775,4.55E-01,-0.383,0.342,TRUE
POP1,1.935,3.772,0.244,3.43,2.34525,2.452,2.131,1.415,1.79,1.947,6.51E-01,-0.398,0.187,
No Gene,4.539,5.249,0.561,0.172,2.63025,5.161,1.964,0.993,0.751,2.21725,8.12E-01,-0.413,0.09,
CAT,0,2.288,2.741,0,1.25725,0.021,0.695,1.262,1.338,0.829,6.08E-01,-0.428,0.216,
CWF19L2,1.403,1.135,0.483,0.782,0.95075,0.325,0.413,0.738,0.601,0.51925,9.98E-02,-0.431,1.001,
EXOSC7,4.506,0,0.57,0,1.269,0.747,0.799,1.191,0.528,0.81625,6.94E-01,-0.453,0.159,
IGHG4,0.987,0,2.902,1.865,1.4385,0.763,0,1.473,1.647,0.97075,5.42E-01,-0.468,0.266,
KIAA1210,1.102,0.508,0,0.281,0.47275,0,0,0,0,0,8.99E-02,-0.473,1.046,
NOP2,3.652,1.51,0,0,1.2905,0.647,1.038,0.329,1.18,0.7985,5.99E-01,-0.492,0.223,
SH3D21,5.836,6.167,7.298,6.404,6.42625,3.553,6.578,6.524,6.972,5.90675,5.64E-01,-0.519,0.249,
TGM3,0.786,2.854,3.949,1.29,2.21975,0,1.382,2.362,2.976,1.68,5.99E-01,-0.54,0.222,
IGKC,0,0.485,1.473,0.977,0.73375,0,0,0.754,0,0.1885,1.90E-01,-0.545,0.722,
MTPN,5.257,4.104,1.341,0.557,2.81475,2.281,2.722,2.118,1.938,2.26475,6.43E-01,-0.55,0.192,TRUE
JAG1,0,0.66,1.346,0.831,0.70925,0,0,0,0.622,0.1555,1.32E-01,-0.554,0.878,
VPS4B,3.445,0,0.525,0,0.9925,0.348,1.327,0,0,0.41875,5.41E-01,-0.574,0.267,
ACTR2,4.57,0,2.249,0.188,1.75175,0.682,1.064,1.911,1.004,1.16525,6.13E-01,-0.587,0.212,
SARNP,3.406,1.736,0,0.256,1.3495,0.679,1.189,0.596,0.562,0.7565,4.86E-01,-0.593,0.313,TRUE
NDUFS1,0,0,1.453,2.047,0.875,0,1.127,0,0,0.28175,3.54E-01,-0.593,0.451,
HIST2H2AC,5.922,2.774,2.186,0.882,2.941,3.223,2.416,2.451,1.296,2.3465,6.21E-01,-0.594,0.207,
CECR5,4.887,0,1.873,0,1.69,1.021,1.533,0.669,1.072,1.07375,6.16E-01,-0.616,0.21,
ABCC2,0.427,0,1.366,0.683,0.619,0,0,0,0,0,7.36E-02,-0.619,1.133,
CSTA,1.173,4.588,4.611,0,2.593,1.101,1.812,2.213,2.743,1.96725,6.30E-01,-0.626,0.201,
CASA2_BOVIN,0.047,0,1.082,2.034,0.79075,0,0.197,0.049,0.341,0.14675,2.37E-01,-0.644,0.626,
PRPF8,6.635,0.263,0.335,0,1.80825,1.945,1.086,0.41,1.187,1.157,7.05E-01,-0.652,0.152,
FANCE,0.594,1.211,3.497,0.337,1.40975,1.14,0,0.898,0.969,0.75175,4.22E-01,-0.658,0.375,
GDI1,4.907,0,3.334,0.816,2.26425,1.43,2.78,2.157,0,1.59175,6.18E-01,-0.673,0.209,
TNS1,3.593,3.535,3.89,3.728,3.6865,0.121,4.179,4.011,3.729,3.01,5.12E-01,-0.676,0.291,
IPO5,7.253,1.622,0,0.842,2.42925,2.497,1.747,1.623,1.137,1.751,6.98E-01,-0.678,0.156,
IGHM,0,0.896,0.453,1.385,0.6835,0,0,0,0,0,6.09E-02,-0.683,1.215,
HINT2,1.975,2.391,2.214,2.531,2.27775,1.958,0,2.433,1.985,1.594,2.65E-01,-0.683,0.577,
NONO,5.803,1.658,0,0,1.86525,1.516,1.145,1.5,0.441,1.1505,6.26E-01,-0.715,0.203,
HNRNPH1,4.285,0.71,0,1.409,1.601,0.919,1.904,0.173,0.524,0.88,5.03E-01,-0.721,0.299,
SPEF2,0,1.727,2.013,0,0.935,0.815,0,0,0,0.20375,2.54E-01,-0.731,0.595,
STK33,0.326,4.599,4.144,4.097,3.2915,3.727,1.148,3.611,1.708,2.5485,5.56E-01,-0.743,0.255,
ANXA2,3.785,1.729,2.326,0.262,2.0255,0.702,1.273,1.465,1.68,1.28,3.64E-01,-0.746,0.439,
IARS,4.208,2.511,0,0.16,1.71975,1.545,1.298,0.089,0.942,0.9685,5.04E-01,-0.751,0.298,TRUE
GSDMA,0.33,3.985,3.227,0.786,2.082,0.905,1.888,0.806,1.662,1.31525,4.45E-01,-0.767,0.352,
PRDX2,2.686,2.032,2.439,1.344,2.12525,1.256,1.364,1.608,1.127,1.33875,4.44E-02,-0.787,1.353,
DPY30,4.987,2.371,1.173,1.091,2.4055,1.149,1.558,1.781,1.895,1.59575,4.14E-01,-0.81,0.383,
AKAP6,0,3.238,2.977,2.914,2.28225,0,3.134,2.721,0,1.46375,5.01E-01,-0.818,0.3,
AHNAK2,0,1.452,0.89,0.963,0.82625,0,0,0,0,0,3.41E-02,-0.826,1.468,
K22E_MOUSE,0,3.224,0.082,0,0.8265,0,0,0,0,0,3.41E-01,-0.826,0.467,
HNRNPD,4.799,3.599,2.082,0.225,2.67625,0.826,4.031,1.727,0.748,1.833,5.25E-01,-0.843,0.28,TRUE
NOMO2,5.328,1.624,0,0.231,1.79575,0.663,1.24,0.334,1.55,0.94675,5.26E-01,-0.849,0.279,
DMKN,0,0.796,2.625,0,0.85525,0,0.021,0,0,0.00525,2.19E-01,-0.85,0.66,
CST6,0,2.077,1.369,0,0.8615,0,0,0,0,0,1.47E-01,-0.862,0.832,
PFN1,8.119,5.718,0.622,0.929,3.847,4.02,4.639,1.392,1.875,2.9815,6.81E-01,-0.865,0.167,
USH1G,1.402,0,2.063,0,0.86625,0,0,0,0,0,1.46E-01,-0.866,0.837,
BTF3,6.251,3.948,0.106,0.878,2.79575,1.33,2.514,2.029,1.841,1.9285,5.69E-01,-0.867,0.245,
IQGAP1,5.257,2.794,2.296,1.523,2.9675,2.414,2.683,2.091,1.146,2.0835,3.51E-01,-0.884,0.455,
SALL3,0,1.106,1.115,1.475,0.924,0,0,0,0,0,2.77E-02,-0.924,1.557,
MGAT2,0,1.441,1.871,1.975,1.32175,0,0,0,1.466,0.3665,1.53E-01,-0.955,0.814,
